
 === TRIGGER PATHS === 
Trigger digitisation_step, prescale 1: PASS
Trigger HLT_DoubleJet90_Double30_TripleCSV0p5_v1, prescale 1: fail (or not run)
Trigger HLT_DoubleJet90_Double30_DoubleCSV0p5_v1, prescale 1: fail (or not run)
Trigger HLT_Photon135_PFMET100_NoiseCleaned_v1, prescale 1: fail (or not run)
Trigger HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon250_NoHE_v1, prescale 1: fail (or not run)
Trigger HLT_Photon300_NoHE_v1, prescale 1: fail (or not run)
Trigger HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v1, prescale 1: fail (or not run)
Trigger HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v1, prescale 1: fail (or not run)
Trigger HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu24_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu34_TrkIsoVVL_v1, prescale 1: fail (or not run)
Trigger HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: fail (or not run)
Trigger HLT_Ele18_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: fail (or not run)
Trigger HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: fail (or not run)
Trigger HLT_Ele33_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet20_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet40_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet70_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_DiJet110_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_BTagMu_Jet300_Mu5_v1, prescale 1: fail (or not run)
Trigger HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v1, prescale 1: fail (or not run)
Trigger HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v1, prescale 1: fail (or not run)
Trigger HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_L1ISO_v1, prescale 1: fail (or not run)
Trigger HLT_Mu12_Photon25_CaloIdL_L1OR_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_Photon30_CaloIdL_L1ISO_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_Photon35_CaloIdL_L1ISO_v1, prescale 1: fail (or not run)
Trigger HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v1, prescale 1: fail (or not run)
Trigger HLT_TripleMu_12_10_5_v1, prescale 1: fail (or not run)
Trigger HLT_Mu3er_PFHT140_PFMET125_NoiseCleaned_v1, prescale 1: fail (or not run)
Trigger HLT_Mu6_PFHT200_PFMET100_NoiseCleaned_BTagCSV07_v1, prescale 1: fail (or not run)
Trigger HLT_Mu6_PFHT200_PFMET125_NoiseCleaned_v1, prescale 1: fail (or not run)
Trigger HLT_Mu14er_PFMET120_NoiseCleaned_v1, prescale 1: fail (or not run)
Trigger HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v1, prescale 1: fail (or not run)
Trigger HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p41_v1, prescale 1: fail (or not run)
Trigger HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v1, prescale 1: fail (or not run)
Trigger HLT_PFHT650_WideJetMJJ950DEtaJJ1p5_v1, prescale 1: fail (or not run)
Trigger HLT_Photon22_v1, prescale 1: fail (or not run)
Trigger HLT_Photon30_v1, prescale 1: fail (or not run)
Trigger HLT_Photon36_v1, prescale 1: fail (or not run)
Trigger HLT_Photon50_v1, prescale 1: fail (or not run)
Trigger HLT_Photon75_v1, prescale 1: fail (or not run)
Trigger HLT_Photon90_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_v1, prescale 1: fail (or not run)
Trigger HLT_Photon175_v1, prescale 1: fail (or not run)
Trigger HLT_Photon165_HE10_v1, prescale 1: fail (or not run)
Trigger HLT_Photon22_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon30_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon36_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon50_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon75_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon90_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon120_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Photon165_R9Id90_HE10_IsoM_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton44_28_R9Id85_OR_Iso50T80LCaloId24b40e_AND_HE10P1_R9Id50b80e_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton28_14_R9Id85_OR_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_Mass50_Eta_1p5_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton30_18_R9Id85_OR_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_PixelSeed_Mass70_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton30_18_R9Id85_OR_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_Mass95_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton30_18_R9Id85_AND_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_Solid_Mass30_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton30_18_R9Id85_AND_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_PV_v1, prescale 1: fail (or not run)
Trigger HLT_Diphoton30_18_R9Id85_AND_Iso50T80LCaloId24b40e_AND_HE10P0_R9Id50b80e_DoublePV_v1, prescale 1: fail (or not run)
Trigger HLT_Dimuon0_Jpsi_Muon_v1, prescale 1: fail (or not run)
Trigger HLT_Dimuon0_Upsilon_Muon_v1, prescale 1: fail (or not run)
Trigger HLT_QuadMuon0_Dimuon0_Jpsi_v1, prescale 1: fail (or not run)
Trigger HLT_QuadMuon0_Dimuon0_Upsilon_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_Mu8_SameSign_v1, prescale 1: fail (or not run)
Trigger HLT_Mu17_Mu8_SameSign_DPhi_v1, prescale 1: fail (or not run)
Trigger HLT_RsqMR260_Rsq0p09_MR200_v1, prescale 1: fail (or not run)
Trigger HLT_RsqMR260_Rsq0p09_MR200_4jet_v1, prescale 1: fail (or not run)
Trigger HLT_RsqMR300_Rsq0p09_MR200_v1, prescale 1: fail (or not run)
Trigger HLT_RsqMR300_Rsq0p09_MR200_4jet_v1, prescale 1: fail (or not run)
Trigger HLT_Rsq0p36_v1, prescale 1: fail (or not run)
Trigger HLT_HT750_DisplacedDijet80_Inclusive_v1, prescale 1: fail (or not run)
Trigger HLT_HT650_DisplacedDijet80_Inclusive_v1, prescale 1: fail (or not run)
Trigger HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v1, prescale 1: fail (or not run)
Trigger HLT_HT350_DisplacedDijet40_DisplacedTrack_v1, prescale 1: fail (or not run)
Trigger HLT_HT350_DisplacedDijet80_DisplacedTrack_v1, prescale 1: fail (or not run)
Trigger HLT_HT500_DisplacedDijet40_Inclusive_v1, prescale 1: fail (or not run)
Trigger HLT_HT550_DisplacedDijet40_Inclusive_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_DisplacedTrack_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_Hadronic_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_TightID_Hadronic_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_VTightID_Hadronic_v1, prescale 1: fail (or not run)
Trigger HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v1, prescale 1: fail (or not run)
